CityID,CityName
CITY00001,West Amanda
CITY00002,Rodriguezside
CITY00003,South Debraberg
CITY00004,Bradfordview
CITY00005,South James
CITY00006,Howardberg
CITY00007,Paulchester
CITY00008,Crystalside
CITY00009,Lesterfort
CITY00010,South Kelseystad
CITY00011,East Alexmouth
CITY00012,Port Matthew
CITY00013,Turnertown
CITY00014,Moranberg
CITY00015,Huntport
CITY00016,Molinachester
CITY00017,Gallegosbury
CITY00018,East Brian
CITY00019,Thomasview
CITY00020,South Staceymouth
CITY00021,West Angela
CITY00022,Kristaborough
CITY00023,South Shannonberg
CITY00024,North Leahside
CITY00025,Hudsonmouth
CITY00026,Meganchester
CITY00027,Elizabethview
CITY00028,Kimberlyport
CITY00029,Wardshire
CITY00030,Kingmouth
CITY00031,New Nathanielville
CITY00032,North Codychester
CITY00033,Simpsonport
CITY00034,East Adamtown
CITY00035,Porterburgh
CITY00036,Stewartport
CITY00037,Curtismouth
CITY00038,North Olivia
CITY00039,North John
CITY00040,Port Kristabury
CITY00041,Lake Robin
CITY00042,Lake Michaelbury
CITY00043,Suzannefort
CITY00044,West Lindsayville
CITY00045,East Brandon
CITY00046,Lake Shawn
CITY00047,New Jonathan
CITY00048,South Jeffery
CITY00049,Morganstad
CITY00050,Lake Lisa
CITY00051,Brownfurt
CITY00052,New Emily
CITY00053,Smithtown
CITY00054,Lake Lauren
CITY00055,Grayburgh
CITY00056,East Danshire
CITY00057,Kathyport
CITY00058,Lake Richard
CITY00059,Thomasstad
CITY00060,New Bruce
CITY00061,West Dylan
CITY00062,East Michelle
CITY00063,Aprilmouth
CITY00064,Harrisshire
CITY00065,Comptonville
CITY00066,East Scottland
CITY00067,North Karen
CITY00068,Lake Jessica
CITY00069,Hollystad
CITY00070,West Kevinborough
CITY00071,Mitchellburgh
CITY00072,Lake Robert
CITY00073,East Kathleen
CITY00074,South Kylebury
CITY00075,Lake Robertberg
CITY00076,Angelafort
CITY00077,Pagestad
CITY00078,Danielville
CITY00079,Andersenland
CITY00080,Port Natalie
CITY00081,Robinsonborough
CITY00082,Laurenchester
CITY00083,South Eric
CITY00084,Jenniferchester
CITY00085,Benjaminhaven
CITY00086,West Gabrielle
CITY00087,South Anthonyview
CITY00088,South Megan
CITY00089,West Matthew
CITY00090,New Marvinton
CITY00091,Hayesborough
CITY00092,North Raymondstad
CITY00093,Port Stanleyshire
CITY00094,Barreraberg
CITY00095,North Joannfort
CITY00096,Kaylahaven
CITY00097,Mooremouth
CITY00098,West Katherineborough
CITY00099,East Justinmouth
CITY00100,East Jenniferchester
CITY00101,Garciaton
CITY00102,Lake Donna
CITY00103,Thorntonville
CITY00104,Lake James
CITY00105,Taylorside
CITY00106,East Gregory
CITY00107,Lake Williamstad
CITY00108,Georgeville
CITY00109,Port Patricia
CITY00110,Lake Elizabethchester
CITY00111,South Cindyhaven
CITY00112,West Vicki
