PersonID,FriendPersonID
PERS00001,PERS03276
PERS00002,PERS01911
PERS00002,PERS02681
PERS00002,PERS04080
PERS00002,PERS01306
PERS00002,PERS02696
PERS00002,PERS00726
PERS00003,PERS04464
PERS00003,PERS00372
PERS00003,PERS03165
PERS00003,PERS04988
PERS00003,PERS00383
PERS00003,PERS01164
PERS00003,PERS01702
PERS00003,PERS01720
PERS00003,PERS03715
PERS00003,PERS04260
PERS00004,PERS03933
PERS00004,PERS03022
PERS00004,PERS03584
PERS00004,PERS01105
PERS00004,PERS01099
PERS00004,PERS00050
PERS00004,PERS01121
PERS00005,PERS04591
PERS00005,PERS00659
PERS00005,PERS03902
PERS00005,PERS03115
PERS00005,PERS03166
PERS00005,PERS01178
PERS00005,PERS04108
PERS00005,PERS02507
PERS00005,PERS03400
PERS00005,PERS01668
PERS00006,PERS00908
PERS00006,PERS03237
PERS00007,PERS02787
PERS00007,PERS00623
PERS00007,PERS02238
PERS00007,PERS04150
PERS00007,PERS00951
PERS00007,PERS01360
PERS00007,PERS02152
PERS00008,PERS04564
PERS00008,PERS03637
PERS00008,PERS00787
PERS00008,PERS01938
PERS00008,PERS02467
PERS00008,PERS01976
PERS00009,PERS00193
PERS00009,PERS02439
PERS00009,PERS00189
PERS00010,PERS03700
PERS00010,PERS00647
PERS00010,PERS01581
PERS00010,PERS01922
PERS00010,PERS03732
PERS00010,PERS02968
PERS00010,PERS01199
PERS00011,PERS00864
PERS00011,PERS02272
PERS00011,PERS04551
PERS00011,PERS03604
PERS00011,PERS00502
PERS00011,PERS03803
PERS00011,PERS04763
PERS00012,PERS04462
PERS00012,PERS03865
PERS00012,PERS03017
PERS00013,PERS03546
PERS00013,PERS01460
PERS00014,PERS04605
PERS00014,PERS01692
PERS00014,PERS04436
PERS00014,PERS04925
PERS00014,PERS03007
PERS00014,PERS02175
PERS00014,PERS03431
PERS00014,PERS03719
PERS00014,PERS04918
PERS00014,PERS00548
PERS00015,PERS03511
PERS00015,PERS01625
PERS00015,PERS00661
PERS00015,PERS00811
PERS00015,PERS04635
PERS00015,PERS04321
PERS00015,PERS04767
PERS00015,PERS01770
PERS00015,PERS02503
PERS00016,PERS04047
PERS00016,PERS03228
PERS00016,PERS02791
PERS00016,PERS00537
PERS00016,PERS01709
PERS00016,PERS03151
PERS00016,PERS02566
PERS00016,PERS04900
PERS00016,PERS02945
PERS00016,PERS03441
PERS00017,PERS01181
PERS00017,PERS01388
PERS00017,PERS01942
PERS00017,PERS04473
PERS00018,PERS01262
PERS00018,PERS00422
PERS00018,PERS01485
PERS00018,PERS01264
PERS00018,PERS01187
PERS00018,PERS03918
PERS00018,PERS02678
PERS00018,PERS02830
PERS00018,PERS04332
PERS00019,PERS04499
PERS00019,PERS00185
PERS00019,PERS02965
PERS00019,PERS03559
PERS00019,PERS00048
PERS00019,PERS00068
PERS00019,PERS00764
PERS00020,PERS03057
PERS00020,PERS04674
PERS00020,PERS03972
PERS00020,PERS03072
PERS00020,PERS00949
PERS00020,PERS00008
PERS00020,PERS00707
PERS00020,PERS01111
PERS00021,PERS02794
PERS00021,PERS02199
PERS00021,PERS01557
PERS00021,PERS04526
PERS00021,PERS01623
PERS00021,PERS00157
PERS00021,PERS01304
PERS00021,PERS00568
PERS00021,PERS00887
PERS00022,PERS00229
PERS00022,PERS01090
PERS00022,PERS03615
PERS00022,PERS03558
PERS00022,PERS03600
PERS00022,PERS02520
PERS00023,PERS03012
PERS00023,PERS00658
PERS00023,PERS04213
PERS00024,PERS02014
PERS00024,PERS03284
PERS00024,PERS02097
PERS00024,PERS02575
PERS00024,PERS02131
PERS00024,PERS02448
PERS00024,PERS03320
PERS00024,PERS04172
PERS00024,PERS00978
PERS00025,PERS00428
PERS00025,PERS02701
PERS00026,PERS03273
PERS00026,PERS04147
