RestaurantID,RestaurantName,CityID,CuisineID
REST00001,Wells Ltd,CITY03310,CUIS01471
REST00002,"Hunt, Stafford and Peters",CITY03129,CUIS01052
REST00003,Hebert PLC,CITY04898,CUIS02076
REST00004,"Gray, Davis and Hawkins",CITY01484,CUIS04800
REST00005,Garza Group,CITY04334,CUIS03984
REST00006,Lloyd Inc,CITY02936,CUIS01158
REST00007,Johnson-Walton,CITY04382,CUIS03458
REST00008,"Rivera, Ryan and Porter",CITY01216,CUIS01452
REST00009,"Evans, Stone and Smith",CITY01115,CUIS02051
REST00010,"Dixon, Robinson and Mendez",CITY01417,CUIS01719
REST00011,"Thomas, Ortiz and Ferrell",CITY03541,CUIS01729
REST00012,"Roberts, Martin and Bishop",CITY00402,CUIS01531
REST00013,"Patrick, Richards and Mcgee",CITY03802,CUIS02969
REST00014,Clark-Scott,CITY04879,CUIS03948
REST00015,Butler LLC,CITY02073,CUIS02603
REST00016,Reed PLC,CITY02215,CUIS03435
REST00017,Torres-Jones,CITY04703,CUIS03063
REST00018,Medina-Garcia,CITY00075,CUIS04115
REST00019,"Garrison, Moore and Myers",CITY03305,CUIS01760
REST00020,Cole-Tyler,CITY04964,CUIS02387
REST00021,"Ayers, Mckenzie and White",CITY04526,CUIS03688
REST00022,Harrison-Martin,CITY03102,CUIS03253
REST00023,"Fisher, Zavala and Hartman",CITY02755,CUIS03133
REST00024,Bishop-Lyons,CITY01331,CUIS02073
REST00025,Brown-Frost,CITY01413,CUIS04669
REST00026,Wilson PLC,CITY04447,CUIS01858
REST00027,"Watts, Phillips and Higgins",CITY00135,CUIS00898
REST00028,Price Inc,CITY04691,CUIS03426
REST00029,"Palmer, Fuentes and Anderson",CITY02120,CUIS04555
REST00030,"Thompson, Blackwell and Le",CITY02706,CUIS01980
REST00031,Moss Inc,CITY04193,CUIS00736
REST00032,Klein Ltd,CITY02000,CUIS01766
REST00033,Quinn-Roberts,CITY01207,CUIS01263
REST00034,Johnson Group,CITY01098,CUIS00233
REST00035,Reed Inc,CITY00656,CUIS02679
REST00036,Morgan-Simmons,CITY01806,CUIS01936
REST00037,Flores-Garcia,CITY02907,CUIS04492
REST00038,Clark-Lynch,CITY03966,CUIS03464
REST00039,May-Hunter,CITY03067,CUIS01373
REST00040,Austin-Harper,CITY00554,CUIS04935
REST00041,Stevens Group,CITY00831,CUIS04769
REST00042,Nelson-Boyd,CITY04417,CUIS02444
REST00043,Allison-Moon,CITY01258,CUIS02986
REST00044,Dennis Ltd,CITY01029,CUIS02521
REST00045,Ramos PLC,CITY04389,CUIS02528
REST00046,"White, Bradley and Maynard",CITY01362,CUIS01775
REST00047,Olson-Pope,CITY03460,CUIS03844
REST00048,Jacobs Ltd,CITY02945,CUIS02287
REST00049,Roberts-Jones,CITY02092,CUIS03781
REST00050,Frazier-Grant,CITY02023,CUIS02709
REST00051,Adams-Mendoza,CITY01940,CUIS00082
REST00052,Torres-Russell,CITY00746,CUIS01354
REST00053,Wall-Villanueva,CITY03330,CUIS04774
REST00054,Hill Inc,CITY04134,CUIS03604
REST00055,Smith PLC,CITY00162,CUIS01556
REST00056,Silva-Cowan,CITY03915,CUIS01199
REST00057,"Fox, Khan and Spears",CITY03422,CUIS03641
REST00058,Simpson-Hartman,CITY03155,CUIS04039
REST00059,"Nichols, Thomas and Rogers",CITY02150,CUIS04748
REST00060,Gardner-King,CITY02992,CUIS01019
REST00061,Vaughn-Mullins,CITY02315,CUIS01573
REST00062,Ramirez-Blake,CITY01718,CUIS03530
REST00063,Esparza-Mueller,CITY01833,CUIS03820
REST00064,"Johnson, Gonzalez and Anderson",CITY00829,CUIS02647
REST00065,Decker-Richard,CITY04040,CUIS01753
REST00066,"Evans, Rice and Jones",CITY00169,CUIS00558
REST00067,Ramos-White,CITY01502,CUIS02538
REST00068,Peterson Ltd,CITY03886,CUIS00996
REST00069,Klein-Rice,CITY03790,CUIS03387
REST00070,Simon PLC,CITY02904,CUIS04614
REST00071,"Mcclure, Lozano and Beck",CITY02713,CUIS01000
REST00072,Newton LLC,CITY04216,CUIS00571
REST00073,"Rhodes, Underwood and Brown",CITY02008,CUIS03984
REST00074,"Butler, Ortiz and Soto",CITY01212,CUIS04696
REST00075,Hall LLC,CITY02812,CUIS01717
REST00076,"White, Campbell and Morales",CITY04934,CUIS04402
REST00077,"Smith, Gonzalez and Wood",CITY02370,CUIS04812
REST00078,"Armstrong, Soto and Archer",CITY03409,CUIS03739
REST00079,Moore LLC,CITY03474,CUIS04970
REST00080,Smith-Gonzales,CITY02848,CUIS03036
REST00081,Nelson-Martin,CITY04625,CUIS01258
REST00082,Lozano Group,CITY01990,CUIS04446
REST00083,"Berger, Jensen and Gentry",CITY04022,CUIS02807
